"","movieId","b_m"
"1",1,0.415088710722478
"2",2,-0.306929135190106
"3",3,-0.365232259819085
"4",4,-0.646199028275154
"5",5,-0.443460731053256
"6",6,0.302701413756786
"7",7,-0.153774181341119
"8",8,-0.375676835208124
"9",9,-0.513577943424006
"10",10,-0.0866131081716898
"11",11,0.160861039009345
"12",12,-0.947437001402751
"13",13,-0.325330432928971
"14",14,-0.0691935317334962
"15",15,-0.788592623251119
"16",16,0.238094248710156
"17",17,0.471246292292063
"18",18,-0.183295067936515
"19",19,-0.933128766502868
"20",20,-0.638114861937306
"21",21,0.0841316249783737
"22",22,-0.170481973267911
"23",23,-0.345008116190568
"24",24,-0.280163343832954
"25",25,0.169729153310623
"26",26,0.160684742493834
"27",27,-0.12893970605087
"28",28,0.570220976941791
"29",29,0.453675213539035
"30",30,0.147241071528845
"31",31,-0.236464540363278
"32",32,0.362198424891557
"33",33,-0.398242754578796
"34",34,0.193134760417713
"35",35,-0.0344862335819634
"36",36,0.448731569307709
"37",37,-0.574792085973246
"38",38,-0.683855957250681
"39",39,-0.0849952512250771
"40",40,0.114921998413623
"41",41,0.339248294719798
"42",42,-0.474899707937418
"43",43,-0.0619867814705044
"44",44,-0.826042276149726
"45",45,-0.139232851554681
"46",46,-0.249228714823017
"47",47,0.518651457991859
"48",48,-0.602980810599426
"49",49,0.224599727165705
"50",50,0.853199277494353
"51",51,-0.683261102293264
"52",52,0.0290887064145225
"53",53,0.168388773259799
"54",54,-0.623589510277314
"55",55,-0.300048564722065
"56",56,-1.51770902326776
"57",57,-0.18868889789344
"58",58,0.501837349599272
"59",59,0.0714485538437305
"60",60,-0.346681519400711
"61",61,-0.194711704494294
"62",62,0.232374022850216
"63",63,-0.466179062096965
"64",64,-0.66545016782212
"65",65,-1.0879347262138
"66",66,-1.38625962855703
"67",67,-0.126174929477755
"68",68,-0.0598512321908587
"69",69,0.0668354460494154
"70",70,-0.261256655475255
"71",71,-1.18691658336926
"72",72,-0.00376164341794
"73",73,0.319361554930191
"74",74,-0.208657305628441
"75",75,-0.948241577932557
"76",76,-0.513554568876382
"77",77,-0.101286374212668
"78",78,-0.35480701324166
"79",79,-0.393498856588231
"80",80,0.263594128098228
"81",81,-0.225588340277567
"82",82,0.513818880592541
"83",83,0.142054734913579
"84",84,-0.159513377047881
"85",85,-0.00182810437153081
"86",86,-0.0330072481505871
"87",87,-1.1200429676193
"88",88,-0.42380446058517
"89",89,-0.369693212976732
"90",90,-0.268123970961734
"91",92,-0.62759987809269
"92",93,-0.954606755723194
"93",94,-0.00116953562678563
"94",95,-0.392463233203679
"95",96,0.145101393050814
"96",97,0.419981008016202
"97",98,-0.906956678615573
"98",99,-0.430361319573158
"99",100,-0.28927551491014
"100",101,0.298556436053164
"101",102,-1.06727808839916
"102",103,-0.212434913013141
"103",104,-0.0871157263376277
"104",105,-0.204271339583503
"105",106,-0.0253795839135318
"106",107,-0.310839133900334
"107",108,-0.444585555044742
"108",109,-1.02544363051938
"109",110,0.569282373730596
"110",111,0.618042056649867
"111",112,-0.102197029064261
"112",113,-0.405560756385129
"113",114,0.112291066406266
"114",115,0.0504312890310114
"115",116,0.385895760608224
"116",117,0.0860448183075888
"117",118,-0.510373150916984
"118",119,-0.592954078574027
"119",120,-0.653543038182384
"120",121,0.227399095065787
"121",122,-0.65244145551043
"122",123,0.464438474629852
"123",124,0.0884627290882757
"124",125,0.253792567352332
"125",126,-1.25103380073658
"126",127,-0.178242618793243
"127",128,-0.0287310672124901
"128",129,-0.341576220713811
"129",130,-0.67485818473515
"130",131,-0.197324563055115
"131",132,-0.750079561987252
"132",133,-0.539746364849656
"133",134,0.31252806322456
"134",135,-0.503783074066549
"135",136,-0.107452915942439
"136",137,-0.156613065017008
"137",138,-0.273742730443375
"138",139,-0.189094001351954
"139",140,-0.222949074550788
"140",141,0.0122713393642011
"141",142,-0.531221001334622
"142",143,-0.842237048763009
"143",144,-0.00683669032595925
"144",145,-0.251501227134758
"145",146,-0.669217534424881
"146",147,0.0425402371813076
"147",148,-0.606772671906011
"148",149,0.145201516754816
